01/2017;
11;PREVISÃO do lançamento do edital para ingresso 2017.2 no curso de licenciatura em Ciências Agrícolas em www.ufrpe.br
18;Último dia para cadastramento dos seguros de estágios a serem realizados em setembro
21;Último dia para entrega da frequência de monitoria na PREG
21-26;PERÍODO PARA REALIZAÇÃO DA 3ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
31;Último dia para defesa de ESO e/ou monografia referente ao semestre letivo de 2017.1
31;Término do PRIMEIRO semestre letivo de 2017
09/2017;
04-09;Provas finais
07;Feriado nacional: Independência do Brasil
08;Feriado municipal em Serra Talhada
15;Data limite para inserção de nota das avaliações finais no SIG@
15;PREVISÃO do lançamento dos Editais da Assistência Estudantil em www.progest.ufrpe.br
18-19;Período de matrícula para ingressantes via Processo Seletivo EXTRA (2017.2) nas coordenações de cursos
18;Último dia para cadastramento dos seguros de estágios a serem realizados em outubro
21;Último dia para entrega da frequência de monitoria na PREG
21-22;Período de matrícula para alunos acompanhados nas coordenações de cursos
28-30;Período de matrícula para alunos regulares. Deverá ser impresso ou anotado o protocolo do requerimento de matrícula, emitido pelo SIG@, para eventual comprovação futura
10/2017;
01;Período de matrícula para alunos regulares. Deverá ser impresso ou anotado o protocolo do requerimento de matrícula, emitido pelo SIG@, para eventual comprovação futura
02;Início do SEGUNDO semestre letivo de 2017
02;Matrículas de retardatários. Deverá ser impresso ou anotado o protocolo do requerimento de matrícula, emitido pelo SIG@, para eventual comprovação futura
02;a 20 Período de solicitação de dispensa de disciplina para o segundo semestre letivo de 2017
02;Aula inaugural da SEDE
03;Aula inaugural da UAG
03;Matrícula em disciplinas isoladas no DRCA - segundo semestre letivo de 2017
05;Aula inaugural da UAST
09;a 11 Reajuste de matrícula
12;Feriado nacional: Nossa Senhora Aparecida
18;Último dia para cadastramento dos seguros de estágios a serem realizados em novembro
23;Último dia para entrega da frequência de monitoria na PREG
23-31;Cancelamento de disciplinas e trancamento de matrícula via SIG@
28;Ponto facultativo- Dia do Servidor Público - art. 236 da Lei nº 8.112, de 11 de dezembro de 1990
31;Feriado municipal no Cabo de Santo Agostinho
11/2017;
01-03;Cancelamento de disciplinas e trancamento de matrícula via SIG@
02;Feriado Nacional: Finados
05-07;Comemoração do Aniversário da UFRPE
10;PREVISÃO para lançamento do edital para ingresso 2018.1 no curso de Licenciatura em Ciências Agrícolas em www.ufrpe.br
15;Feriado nacional: Proclamação da República
18;Último dia para cadastramento dos seguros de estágios a serem realizados em dezembro
20;Colação de Grau Unificada 2017.1 Sede
21;Último dia para entrega da frequência de monitoria na PREG
23;Colação de Grau Unificada 2017.1 UAG
24;Prazo final para os Colegiados de Coordenação Didática devolverem ao DRCA os processos de dispensa de disciplinas
27-30;PERÍODO PARA REALIZAÇÃO DA 1ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
28;Colação de Grau Unificada 2017.1 UAST
12/2017;
01-02;PERÍODO PARA REALIZAÇÃO DA 1ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
01;Data limite para solicitar ao DRCA reintegração para efeito de colação de grau referente ao semestre letivo de 2017.2
01;PREVISÃO para lançamento do edital do Processo Seletivo Extra 2018.1 em www.ufrpe.br
06;Cantata Natalina
08;Feriado municipal em Recife
11-15;Data limite para solicitar ao DRCA mudança de turno para o semestre letivo 2018.1
15;Data limite para abertura de processo referente às Atividades Acadêmicas Curriculares Complementares (AACC)
18;Último dia para cadastramento dos seguros de estágios a serem realizados em janeiro/18
22;Último dia de aula em 2017
23-31;Recesso escolar
21;Último dia para entrega da frequência de monitoria na PREG
25;Natal
01/2018;
01-07;Recesso escolar
08;Reinício do SEGUNDO semestre de 2017
15-19;Solicitação de inscrição em disciplinas isoladas para 2018.1
18;Último dia para cadastramento dos seguros de estágios a serem realizados em fevereiro/18
22;Último dia para entrega da frequência de monitoria na PREG
29-31;PERÍODO SUGERIDO PARA REALIZAÇÃO DA 2ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
02/2018;
01-03;PERÍODO SUGERIDO PARA REALIZAÇÃO DA 2ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
01;Data limite para requerer Regime de Movimentação Temporária (REMT) para o período letivo de 2018.1
18;Último dia para cadastramento dos seguros de estágios a serem realizados em março/18
19-24;PERÍODO PARA REALIZAÇÃO DA 3ª VERIFICAÇÃO DA APRENDIZAGEM (VA)
21;Último dia para entrega da frequência de monitoria na PREG
23;Último dia para defesa de ESO e/ou monografia referente ao semestre letivo de 2017.2
24;Término do SEGUNDO semestre letivo de 2017
03/2018;
05-10;Provas finais
17;Data limite para inserção de nota das avaliações finais no SIG@
18;Último dia para cadastramento dos seguros de estágios a serem realizados em abril/18
21;Último dia para entrega da frequência de monitoria na PREG
26;PREVISÃO do início do PRIMEIRO semestre de 2018
